VAL_ALTURA;COD_ESTRUTURA_SAP;NOM_ESTRUTURA_SAP;COD_LT_SAP;NOM_LT_SAP;NUM_LATITUDE;NUM_LONGITUDE;NUM_ALTITUDE_ORT;NUM_ALTITUDE_GEO;NUM_ID_SEQUENCIA;NUM_QTD_CIRCUITOS;TAG_ATIVO;DES_TIP_ESTRUTURA;DES_CARACTERISTICA1;DES_CARACTERISTICA2;DES_TIP_CIRCUITO;DES_DISPOSICAO_FASES_CIRCUITO_A;OBJECTID;Custom
23.46895117;PORT00060-4;Pórtico Barreiro;MT-L-39623;;-19.9999004797;-43.9920609842;1081.731;1105.19995117;0;1;1;;;;;;1594549;Pórtico Barreiro : 
21.64102148;ESTR06106-9;ESTRUTURA 677;MT-L-39623;;-20.0006175196;-43.9932484311;1069.431;1091.07202148;1;1;1;B3;Ancoragem;Autoportante;Circuito Simples;Horizontal;1594550;ESTRUTURA 677 : 
16.4330459;ESTR06105-1;ESTRUTURA 676;MT-L-39623;;-20.0044873917;-43.9959076517;1058.039;1074.4720459;2;1;1;C1;Ancoragem;Autoportante;Circuito Simples;Horizontal;1594551;ESTRUTURA 676 : 
21.73494629;ESTR06104-4;ESTRUTURA 675;MT-L-39623;;-20.0074665762;-43.9979499187;1076.71;1098.44494629;3;1;1;B3;Ancoragem;Autoportante;Circuito Simples;Horizontal;1594552;ESTRUTURA 675 : 
20.49205664;ESTR06103-6;ESTRUTURA 674;MT-L-39623;;-20.0101799546;-44.003212281;1063.516;1084.00805664;4;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594553;ESTRUTURA 674 : 
29.0890498;ESTR06102-8;ESTRUTURA 673;MT-L-39623;;-20.0120895632;-44.006952372;1068.862;1097.9510498;5;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594554;ESTRUTURA 673 : 
31.29205859;ESTR06101-0;ESTRUTURA 672;MT-L-39623;;-20.0148812488;-44.0123702574;1036.143;1067.43505859;6;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594555;ESTRUTURA 672 : 
17.11802148;ESTR06100-2;ESTRUTURA 671;MT-L-39623;;-20.0160386536;-44.0146480127;1072.329;1089.44702148;7;1;1;B3;Ancoragem;Autoportante;Circuito Simples;Horizontal;1594556;ESTRUTURA 671 : 
17.59701855;ESTR06099-6;ESTRUTURA 670;MT-L-39623;;-20.0164745359;-44.0194814926;1043.897;1061.49401855;8;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594557;ESTRUTURA 670 : 
23.19503809;ESTR06098-8;ESTRUTURA 669;MT-L-39623;;-20.0167367734;-44.0235523707;1037.069;1060.26403809;9;1;1;DX1-A;Ancoragem;Autoportante;Circuito Simples;Horizontal;1594558;ESTRUTURA 669 : 
21.03200537;ESTR06097-0;ESTRUTURA 668;MT-L-39623;;-20.0171399669;-44.0269476361;1002.861;1023.89300537;10;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594559;ESTRUTURA 668 : 
24.17194922;ESTR06096-2;ESTRUTURA 667;MT-L-39623;;-20.0174249111;-44.0300248285;1008.351;1032.52294922;11;1;1;B3;Ancoragem;Autoportante;Circuito Simples;Horizontal;1594560;ESTRUTURA 667 : 
25.28902393;ESTR06095-4;ESTRUTURA 666;MT-L-39623;;-20.0163727935;-44.0344319009;988.598;1013.88702393;12;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594561;ESTRUTURA 666 : 
18.38903711;ESTR06094-7;ESTRUTURA 665;MT-L-39623;;-20.0154559725;-44.038344599;1028.974;1047.36303711;13;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594562;ESTRUTURA 665 : 
23.16899023;ESTR06093-9;ESTRUTURA 664;MT-L-39623;;-20.0151243747;-44.0397572143;1022.071;1045.23999023;14;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594563;ESTRUTURA 664 : 
26.62698145;ESTR06092-1;ESTRUTURA 663;MT-L-39623;;-20.0140741746;-44.0441752825;979.879;1006.50598145;15;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594564;ESTRUTURA 663 : 
24.054995117;ESTR06091-3;ESTRUTURA 662;MT-L-39623;;-20.0134220007;-44.0468419651;959.44;983.494995117;16;1;1;B3;Ancoragem;Autoportante;Circuito Simples;Horizontal;1594565;ESTRUTURA 662 : 
20.74997803;ESTR06090-5;ESTRUTURA 661;MT-L-39623;;-20.0102893005;-44.0504571032;983.04;1003.78997803;17;1;1;B1;Ancoragem;Autoportante;Circuito Simples;Horizontal;1594566;ESTRUTURA 661 : 
24.38604492;ESTR06089-7;ESTRUTURA 660;MT-L-39623;;-20.0088795922;-44.0520732597;1000.685;1025.07104492;18;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594567;ESTRUTURA 660 : 
23.2410127;ESTR06088-9;ESTRUTURA 659;MT-L-39623;;-20.0069826539;-44.0542497816;1025.722;1048.9630127;19;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594568;ESTRUTURA 659 : 
23.78999512;ESTR06087-1;ESTRUTURA 658;MT-L-39623;;-20.0034926796;-44.0582524948;996.08;1019.86999512;20;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594569;ESTRUTURA 658 : 
17.94501758;ESTR06086-3;ESTRUTURA 657;MT-L-39623;;-20.0019296403;-44.0600460232;994.273;1012.21801758;21;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594570;ESTRUTURA 657 : 
21.018003906;ESTR06085-5;ESTRUTURA 656;MT-L-39623;;-19.9999942122;-44.0622550339;955.336;976.354003906;22;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594571;ESTRUTURA 656 : 
22.139993652;ESTR06084-8;ESTRUTURA 655;MT-L-39623;;-19.9988305693;-44.0636014902;923.691;945.830993652;23;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594572;ESTRUTURA 655 : 
15.709993652;ESTR06083-0;ESTRUTURA 654;MT-L-39623;;-19.9954984636;-44.06741844;869.746;885.455993652;24;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594573;ESTRUTURA 654 : 
23.197985352;ESTR06082-2;ESTRUTURA 653;MT-L-39623;;-19.9922082329;-44.0711771367;891.287;914.484985352;25;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594574;ESTRUTURA 653 : 
22.890975098;ESTR06081-4;ESTRUTURA 652;MT-L-39623;;-19.9907439493;-44.0728826991;913.321;936.211975098;26;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594575;ESTRUTURA 652 : 
16.594021973;ESTR06080-6;ESTRUTURA 651;MT-L-39623;;-19.9879250138;-44.0761168299;907.366;923.960021973;27;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594576;ESTRUTURA 651 : 
16.934975098;ESTR06079-8;ESTRUTURA 650;MT-L-39623;;-19.9847412567;-44.0797581904;928.027;944.961975098;28;1;1;B3;Ancoragem;Autoportante;Circuito Simples;Horizontal;1594577;ESTRUTURA 650 : 
-1000888.429;ESTR06078-0;ESTRUTURA 649;MT-L-39623;;-19.9832294792;-44.0804311999;889.429;999.999;29;1;1;B1;Ancoragem;Autoportante;Circuito Simples;Horizontal;1594578;ESTRUTURA 649 : 
31.418990234;ESTR06077-2;ESTRUTURA 648;MT-L-39623;;-19.9793256706;-44.0821344264;865.946;897.364990234;30;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594579;ESTRUTURA 648 : 
27.710017578;ESTR06076-4;ESTRUTURA 647;MT-L-39623;;-19.9765723497;-44.0833367075;912.633;940.343017578;31;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594580;ESTRUTURA 647 : 
19.084988281;ESTR05963-4;ESTRUTURA 646;MT-L-39623;;-19.9755574416;-44.0837782654;925.978;945.062988281;32;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594581;ESTRUTURA 646 : 
21.206018555;ESTR05962-6;ESTRUTURA 645;MT-L-39623;;-19.9712579223;-44.085665715;912.538;933.744018555;33;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594582;ESTRUTURA 645 : 
25.254989746;ESTR05961-8;ESTRUTURA 644;MT-L-39623;;-19.9691996694;-44.086565833;892.347;917.601989746;34;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594583;ESTRUTURA 644 : 
30.942984375;ESTR05960-0;ESTRUTURA 643;MT-L-39623;;-19.9656612593;-44.0881093437;898.516;929.458984375;35;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594584;ESTRUTURA 643 : 
31.161005859;ESTR05959-2;ESTRUTURA 642;MT-L-39623;;-19.9635364899;-44.0890435219;871.87;903.031005859;36;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594585;ESTRUTURA 642 : 
21.501998047;ESTR05958-4;ESTRUTURA 641;MT-L-39623;;-19.96021961;-44.0905003568;876.196;897.697998047;37;1;1;B1;Ancoragem;Autoportante;Circuito Simples;Horizontal;1594586;ESTRUTURA 641 : 
19.509021973;ESTR05957-6;ESTRUTURA 640;MT-L-39623;;-19.9568663147;-44.0919670552;879.326;898.835021973;38;1;1;B1;Ancoragem;Autoportante;Circuito Simples;Horizontal;1594587;ESTRUTURA 640 : 
23.917010254;ESTR05956-8;ESTRUTURA 639;MT-L-39623;;-19.9535186243;-44.0934337525;928.856;952.773010254;39;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594588;ESTRUTURA 639 : 
29.454002441;ESTR05955-0;ESTRUTURA 638;MT-L-39623;;-19.9485213404;-44.0956172182;916.111;945.565002441;40;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594589;ESTRUTURA 638 : 
26.316001465;ESTR05954-3;ESTRUTURA 637;MT-L-39623;;-19.9460607759;-44.0966937549;925.473;951.789001465;41;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594590;ESTRUTURA 637 : 
19.961986328;ESTR05953-5;ESTRUTURA 636;MT-L-39623;;-19.9443416017;-44.09744221;923.299;943.260986328;42;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594591;ESTRUTURA 636 : 
29.688985352;ESTR05952-7;ESTRUTURA 635;MT-L-39623;;-19.9421607326;-44.0983984133;883.171;912.859985352;43;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594592;ESTRUTURA 635 : 
15.137029297;ESTR05951-9;ESTRUTURA 634;MT-L-39623;;-19.93839803;-44.1000455924;889.393;904.530029297;44;1;1;B1;Ancoragem;Autoportante;Circuito Simples;Horizontal;1594593;ESTRUTURA 634 : 
22.790016602;ESTR05950-1;ESTRUTURA 633;MT-L-39623;;-19.9367806024;-44.100753437;899.902;922.692016602;45;1;1;B1;Ancoragem;Autoportante;Circuito Simples;Horizontal;1594594;ESTRUTURA 633 : 
23.538025391;ESTR05949-3;ESTRUTURA 632;MT-L-39623;;-19.9325592836;-44.1026030908;902.638;926.176025391;46;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594595;ESTRUTURA 632 : 
21.954976563;ESTR05948-5;ESTRUTURA 631;MT-L-39623;;-19.9300138053;-44.1037093759;918.921;940.875976563;47;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594596;ESTRUTURA 631 : 
21.29201709;ESTR05947-7;ESTRUTURA 630;MT-L-39623;;-19.9274378342;-44.1048377902;927.413;948.70501709;48;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594597;ESTRUTURA 630 : 
23.180025879;ESTR05946-9;ESTRUTURA 629;MT-L-39623;;-19.9227106567;-44.1069102455;945.509;968.689025879;49;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594598;ESTRUTURA 629 : 
24.11802344;ESTR05945-1;ESTRUTURA 628;MT-L-39623;;-19.9193179998;-44.1083895315;985.256;1009.37402344;50;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594599;ESTRUTURA 628 : 
22.138997559;ESTR05944-4;ESTRUTURA 627;MT-L-39623;;-19.9173160923;-44.1092697365;951.421;973.559997559;51;1;1;B1;Ancoragem;Autoportante;Circuito Simples;Horizontal;1594600;ESTRUTURA 627 : 
18.688015137;ESTR05943-6;ESTRUTURA 626;MT-L-39623;;-19.9138154569;-44.1108011875;914.715;933.403015137;52;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594601;ESTRUTURA 626 : 
20.750012207;ESTR05942-8;ESTRUTURA 625;MT-L-39623;;-19.9096790697;-44.1126092474;903.95;924.700012207;53;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594602;ESTRUTURA 625 : 
21.87001416;ESTR05941-0;ESTRUTURA 624;MT-L-39623;;-19.9075022009;-44.1135567689;924.132;946.00201416;54;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594603;ESTRUTURA 624 : 
26.101989746;ESTR05940-2;ESTRUTURA 623;MT-L-39623;;-19.9052071462;-44.1145627271;890.5;916.601989746;55;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594604;ESTRUTURA 623 : 
26.130989746;ESTR05939-4;ESTRUTURA 622;MT-L-39623;;-19.9008798189;-44.1164549157;894.846;920.976989746;56;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594605;ESTRUTURA 622 : 
26.209019531;ESTR05938-6;ESTRUTURA 621;MT-L-39623;;-19.8977914057;-44.1178020419;888.436;914.645019531;57;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594606;ESTRUTURA 621 : 
20.913970215;ESTR05937-8;ESTRUTURA 620;MT-L-39623;;-19.8945430583;-44.1192271254;869.668;890.581970215;58;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594607;ESTRUTURA 620 : 
16.587975098;ESTR05936-0;ESTRUTURA 619;MT-L-39623;;-19.8907995077;-44.1208645935;869.374;885.961975098;59;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594608;ESTRUTURA 619 : 
26.219987305;ESTR05935-2;ESTRUTURA 618;MT-L-39623;;-19.8878862501;-44.1221401201;887.442;913.661987305;60;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594609;ESTRUTURA 618 : 
23.989972168;ESTR05934-5;ESTRUTURA 617;MT-L-39623;;-19.8840493186;-44.1238151066;877.644;901.633972168;61;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594610;ESTRUTURA 617 : 
26.32701416;ESTR05933-7;ESTRUTURA 616;MT-L-39623;;-19.8791293463;-44.1259663782;847.3;873.62701416;62;1;1;A3;Suspensão;Autoportante;Circuito Simples;Horizontal;1594611;ESTRUTURA 616 : 
21.438988281;ESTR05932-9;ESTRUTURA 615;MT-L-39623;;-19.8769664721;-44.1269116288;857.374;878.812988281;63;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594612;ESTRUTURA 615 : 
21.420979004;ESTR05931-1;ESTRUTURA 614;MT-L-39623;;-19.8726228479;-44.1288092058;875.52;896.940979004;64;1;1;A2;Suspensão;Autoportante;Circuito Simples;Horizontal;1594613;ESTRUTURA 614 : 
0;ESTR12740-7;ESTRUTURA 31A;MT-L-39623;;-19.87061783611;-44.12968725833;865.88;0;65;0;1;EX1;Ancoragem;Autoportante;Circuito Simples;Horizontal;1594614;ESTRUTURA 31A : 
0;ESTR12739-9;ESTRUTURA 30A;MT-L-39623;;-19.86952088888;-44.13016575555;864.3;0;66;0;1;M52T90;Ancoragem;Autoportante;Circuito Simples;Horizontal;1594615;ESTRUTURA 30A : 
0;ESTR12738-1;ESTRUTURA 29A;MT-L-39623;;-19.870567875;-44.13507516666;925.33;0;67;0;1;M34AA;Ancoragem;Autoportante;Circuito Simples;Vertical;1594616;ESTRUTURA 29A : 
0;ESTR12737-3;ESTRUTURA 28A;MT-L-39623;;-19.87074199444;-44.13767657222;910.98;0;68;0;1;M34SL;Suspensão;Autoportante;Circuito Simples;Vertical;1594617;ESTRUTURA 28A : 
0;ESTR12736-5;ESTRUTURA 27A;MT-L-39623;;-19.87108044166;-44.14167206666;876;0;69;0;1;M34SL;Suspensão;Autoportante;Circuito Simples;Vertical;1594618;ESTRUTURA 27A : 
0;ESTR12735-7;ESTRUTURA 26A;MT-L-39623;;-19.87138728888;-44.145296525;887.26;0;70;0;1;M34SL;Suspensão;Autoportante;Circuito Simples;Vertical;1594619;ESTRUTURA 26A : 
0;ESTR12734-0;ESTRUTURA 25A;MT-L-39623;;-19.87160471111;-44.14786501666;876.08;0;71;0;1;M34SL;Suspensão;Autoportante;Circuito Simples;Vertical;1594620;ESTRUTURA 25A : 
0;ESTR12733-2;ESTRUTURA 24A;MT-L-39623;;-19.87197433611;-44.15223149166;875.78;0;72;0;1;M34SL;Suspensão;Autoportante;Circuito Simples;Vertical;1594621;ESTRUTURA 24A : 
0;ESTR12732-4;ESTRUTURA 23A;MT-L-39623;;-19.87242728333;-44.15765459166;883.96;0;73;0;1;M34SP;Suspensão;Autoportante;Circuito Simples;Vertical;1594622;ESTRUTURA 23A : 
0;ESTR12731-6;ESTRUTURA 22A;MT-L-39623;;-19.87288134166;-44.16240635833;868.76;0;74;0;1;M34AA;Ancoragem;Autoportante;Circuito Simples;Vertical;1594623;ESTRUTURA 22A : 
0;ESTR12730-8;ESTRUTURA 21A;MT-L-39623;;-19.87312906666;-44.16588298333;956.88;0;75;0;1;M34SL;Suspensão;Autoportante;Circuito Simples;Vertical;1594624;ESTRUTURA 21A : 
0;ESTR12729-0;ESTRUTURA 20A;MT-L-39623;;-19.87341141666;-44.16922219166;970.51;0;76;0;1;M34SL;Suspensão;Autoportante;Circuito Simples;Vertical;1594625;ESTRUTURA 20A : 
0;ESTR12728-2;ESTRUTURA 19A;MT-L-39623;;-19.87380298888;-44.17385515277;933.19;0;77;0;1;M34SL;Suspensão;Autoportante;Circuito Simples;Vertical;1594626;ESTRUTURA 19A : 
0;ESTR12727-4;ESTRUTURA 18A;MT-L-39623;;-19.87409150555;-44.17727048611;918.1;0;78;0;1;M34SL;Suspensão;Autoportante;Circuito Simples;Vertical;1594627;ESTRUTURA 18A : 
0;ESTR12726-6;ESTRUTURA 17A;MT-L-39623;;-19.87446356944;-44.18167521944;961.83;0;79;0;1;M34SL;Suspensão;Autoportante;Circuito Simples;Vertical;1594628;ESTRUTURA 17A : 
0;ESTR12725-8;ESTRUTURA 16A;MT-L-39623;;-19.87473196111;-44.18485276111;956.67;0;80;0;1;M34SL;Suspensão;Autoportante;Circuito Simples;Vertical;1594629;ESTRUTURA 16A : 
0;ESTR12724-1;ESTRUTURA 15A;MT-L-39623;;-19.87516003888;-44.18937559444;933.52;0;81;0;1;M34AT;Ancoragem;Autoportante;Circuito Simples;Vertical;1594630;ESTRUTURA 15A : 
0;ESTR12723-3;ESTRUTURA 14A;MT-L-39623;;-19.87775568888;-44.19262390555;871.05;0;82;0;1;M34SL;Suspensão;Autoportante;Circuito Simples;Vertical;1594631;ESTRUTURA 14A : 
0;ESTR12722-5;ESTRUTURA 13A;MT-L-39623;;-19.88058784722;-44.19601268888;840.63;0;83;0;1;M34AA;Ancoragem;Autoportante;Circuito Simples;Vertical;1594632;ESTRUTURA 13A : 
0;ESTR12721-7;ESTRUTURA 12A;MT-L-39623;;-19.88368939722;-44.19863703333;880.02;0;84;0;1;M34SP;Suspensão;Autoportante;Circuito Simples;Vertical;1594633;ESTRUTURA 12A : 
0;ESTR12720-9;ESTRUTURA 11A;MT-L-39623;;-19.88805871388;-44.20223604722;852.02;0;85;0;1;M34SP;Suspensão;Autoportante;Circuito Simples;Vertical;1594634;ESTRUTURA 11A : 
0;ESTR12719-1;ESTRUTURA 10A;MT-L-39623;;-19.89249198888;-44.20588804722;895.66;0;86;0;1;M34SP;Suspensão;Autoportante;Circuito Simples;Vertical;1594635;ESTRUTURA 10A : 
0;ESTR12718-3;ESTRUTURA 09A;MT-L-39623;;-19.89520398055;-44.20811445277;877.49;0;87;0;1;M34SL;Suspensão;Autoportante;Circuito Simples;Vertical;1594636;ESTRUTURA 09A : 
0;ESTR12717-5;ESTRUTURA 08A;MT-L-39623;;-19.89739440555;-44.209857275;838.51;0;88;0;1;M34AT;Ancoragem;Autoportante;Circuito Simples;Vertical;1594637;ESTRUTURA 08A : 
0;ESTR12716-7;ESTRUTURA 07A;MT-L-39623;;-19.89775980277;-44.21282889722;850.15;0;89;0;1;M34SL;Suspensão;Autoportante;Circuito Simples;Vertical;1594638;ESTRUTURA 07A : 
0;ESTR12715-9;ESTRUTURA 06A;MT-L-39623;;-19.89847845;-44.21805663611;914.87;0;90;0;1;M34SP;Suspensão;Autoportante;Circuito Simples;Vertical;1594639;ESTRUTURA 06A : 
0;ESTR12714-2;ESTRUTURA 05A;MT-L-39623;;-19.89917976666;-44.223074725;929.23;0;91;0;1;M34SL;Suspensão;Autoportante;Circuito Simples;Vertical;1594640;ESTRUTURA 05A : 
0;ESTR12713-4;ESTRUTURA 04A;MT-L-39623;;-19.89940330555;-44.22435129444;910.07;0;92;0;1;M34AT;Ancoragem;Autoportante;Circuito Simples;Vertical;1594641;ESTRUTURA 04A : 
0;ESTR12712-6;ESTRUTURA 03A;MT-L-39623;;-19.89800725833;-44.22655043611;886.33;0;93;0;1;M34SL;Suspensão;Autoportante;Circuito Simples;Vertical;1594642;ESTRUTURA 03A : 
0;ESTR12711-8;ESTRUTURA 02A;MT-L-39623;;-19.89652162222;-44.22907618611;896.03;0;94;0;1;M34AA;Ancoragem;Autoportante;Circuito Simples;Vertical;1594643;ESTRUTURA 02A : 
0;ESTR12710-0;ESTRUTURA 01A;MT-L-39623;;-19.89571871944;-44.23502306944;867.8;0;95;0;1;M34AT;Ancoragem;Autoportante;Circuito Simples;Vertical;1594644;ESTRUTURA 01A : 
0;PORT00157-8;Pórtico Final;MT-L-39623;;-19.89577350833;-44.23608173611;865.69;0;96;0;1;;;;;;1594645;Pórtico Final : 
